state,ST,residential,commercial,industrial,transportation,electric
Alabama,AL,1.5,1.9,13.7,82.7,0.18
Alaska,AK,3.3,4.3,16.9,73.8,1.7
Arizona,AZ,1.5,1.7,10,86.7,0.1
Arkansas,AR,2.1,1.6,15.2,80.9,0.1
California,CA,1.3,1.7,11.9,84.8,0.3
Colorado,CO,3.6,2,12.3,82.1,0
Connecticut,CT,19.5,5.1,5,70,0.5
Delaware,DE,6.9,2.4,30,60.3,0.3
Dist. of Col.,DC,1,10.4,2.3,79,7.4
Florida,FL,0.6,1.7,4.9,90.9,1.9
Georgia,GA,1.4,1.1,7.6,89.9,0.1
Hawaii,HI,0.5,2.2,8.3,60.4,28.6
Idaho,ID,4.1,2.3,16.8,76.8,0
Illinois,IL,2.6,0.8,20.7,75.8,0.1
Indiana,IN,3.3,1.4,16.3,77.8,1.2
Iowa,IA,6,4.3,22.9,66.4,0.4
Kansas,KS,2.8,0.8,37.3,59,0.2
Kentucky,KY,2.4,0.8,21.8,72.1,2.8
Louisiana,LA,0.2,0.4,63.7,33.4,2.3
Maine,ME,18.8,11.4,7.7,61.5,0.7
Maryland,MD,5.2,2.5,6.8,85,0.5
Massachusetts,MA,14.8,4.3,4,76.6,0.3
Michigan,MI,6.1,1.3,9.2,83,0.3
Minnesota,MN,5.4,2.3,19.3,73,0
Mississippi,MS,2.3,1.6,16.8,79.1,0.1
Missouri,MO,3.6,1.1,11.2,84,0.1
Montana,MT,7,1.4,23.5,63.8,4.2
Nebraska,NE,4.8,1,14.5,79.6,0.2
Nevada,NV,1.8,1.4,8.4,88.4,0.1
New Hampshire,NH,19.4,8.6,4.9,66.6,0.4
New Jersey,NJ,3,1.5,10.9,84.6,0.1
New Mexico,NM,3.1,1.2,22.4,73.1,0.1
New York,NY,10.2,8.2,5.9,74.9,0.8
North Carolina,NC,4.4,2.5,8.8,84.1,0.2
North Dakota,ND,5.6,4.4,34,55.7,0.2
Ohio,OH,3.2,1.6,15.3,78.8,1.2
Oklahoma,OK,2,1.1,17.1,79.8,0
Oregon,OR,1.7,1.5,10.5,86.3,0
Pennsylvania,PA,8.4,2.6,17.6,71.1,0.4
Rhode Island,RI,18.8,4.4,4.4,72.3,0.1
South Carolina,SC,1.6,1.3,8.2,88.7,0.2
South Dakota,SD,6.4,2.2,17.3,73.9,0.1
Tennessee,TN,1.6,1.4,10.4,86.4,0.3
Texas,TX,0.4,0.5,59.4,39.6,0.1
Utah,UT,1.1,2.1,14.1,82.6,0.2
Vermont,VT,20.9,10.2,7.4,61.5,0
Virginia,VA,4.3,2,5.8,87.4,0.6
Washington,WA,2.4,1.5,17,79.1,0
West Virginia,WV,3,1.8,18.9,75.3,0.9
Wisconsin,WI,7.3,1.7,12.6,77.6,0.8
Wyoming,WY,3.3,4.6,34.3,57.5,0.3
